"","decimalLongitude","decimalLatitude","key","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"204",17.051695,58.676901,"2271467814",70,45,184,6781,203,-41,243,168,-2,168,-17,561,64,30,25,190,91,190,103
"205",17.054237,58.67747,"2271467847",70,45,184,6781,203,-41,243,168,-2,168,-17,561,64,30,25,190,91,190,103
"206",17.049045,58.679422,"2271467889",70,45,184,6786,203,-41,244,168,-2,168,-17,565,65,30,26,193,91,193,103
"207",17.047428,58.678871,"2271468462",70,45,184,6786,203,-41,244,168,-2,168,-17,565,65,30,26,193,91,193,103
"208",17.050788,58.678488,"2271469307",70,45,184,6781,203,-41,243,168,-2,168,-17,561,64,30,25,190,91,190,103
"209",15.376544,57.325014,"2271470889",65,62,242,6582,206,-49,255,156,-6,158,-21,618,77,34,24,212,104,203,114
"210",11.985403,57.583783,"2271512705",77,44,196,6207,196,-26,223,98,45,165,-4,886,94,47,24,280,147,263,171
"211",17.053968,58.657487,"2271559971",71,44,182,6765,203,-39,242,169,-1,169,-16,536,62,29,25,182,87,182,97
"212",17.055594,58.657164,"2271560451",71,44,182,6765,203,-39,242,169,-1,169,-16,536,62,29,25,182,87,182,97
"213",17.053851,58.658071,"2271560494",71,44,182,6765,203,-39,242,169,-1,169,-16,536,62,29,25,182,87,182,97
"214",17.053599,58.657174,"2271560671",71,44,182,6765,203,-39,242,169,-1,169,-16,536,62,29,25,182,87,182,97
"215",17.056052,58.656893,"2271561448",71,44,182,6765,203,-39,242,169,-1,169,-16,536,62,29,25,182,87,182,97
"216",17.053851,58.658071,"2271562754",71,44,182,6765,203,-39,242,169,-1,169,-16,536,62,29,25,182,87,182,97
